Country,1960,1970,1980,1990,2000,2010,2020
Sub-Saharan Africa (excluding high income),227907169,293846963,388730206,516560181,671131355,879707649,1151203619
South Sudan,2907724,3342410,4192012,4750817,6114440,9714419,10606227
Sub-Saharan Africa,227948869,293900563,388793467,516629688,671212486,879797419,1151302081
Small states,14195394,17101673,20943051,25640496,30055791,35871823,42393051
Sao Tome and Principe,68038,77583,97210,120343,143714,182138,218641
Suriname,268396,379918,375112,412756,478998,546080,607065
Slovak Republic,4068095,4538223,4979815,5299187,5388720,5391428,5458827
Slovenia,1584720,1724891,1901315,1998161,1988925,2048583,2102419
Sweden,7484656,8042801,8310531,8558835,8872109,9378126,10353442
Eswatini,345065,442865,598564,854011,1030496,1099920,1180655
Sint Maarten (Dutch part),2646,6260,12243,27845,30519,34056,42310
Seychelles,41700,53600,63261,69507,81131,89770,98462
Syrian Arab Republic,4610712,6319199,8898954,12408996,16307654,22337563,20772595
Turks and Caicos Islands,5604,5665,7598,11709,18744,29726,44276
Chad,3028688,3667394,4408230,5827069,8259137,11894727,16644701
East Asia & Pacific (IDA & IBRD countries),884811163,1101191924,1339615160,1580447407,1793649873,1944510719,2090523535
Europe & Central Asia (IDA & IBRD countries),307910628,351105688,389318684,427949024,435816101,441717333,462023771
Togo,1651367,2197383,2838110,3875947,5008035,6571855,8442580
Thailand,26596584,35791728,45737753,55228410,63066603,68270489,71475664
Tajikistan,2131992,2993019,4045965,5417860,6272998,7621779,9543207
Turkmenistan,1602052,2201432,2862903,3720278,4569132,5267970,6250438
Latin America & the Caribbean (IDA & IBRD countries),208929539,273465688,347592976,426479901,505304844,572674666,634680385
Timor-Leste,468573,554021,642224,758106,878360,1088486,1299995
Middle East & North Africa (IDA & IBRD countries),97179656,126316235,167489905,226868111,280976957,339527169,407006855
Tonga,67428,86484,96708,98727,102603,107383,105254
South Asia (IDA & IBRD),571192428,720399195,904993069,1141312704,1406945493,1660546144,1882531620
Sub-Saharan Africa (IDA & IBRD countries),227948869,293900563,388793467,516629688,671212486,879797419,1151302081
